annotation_id,annotation_species,annotation_name,image_id,image_contributor,image_filename,image_time,image_lat,image_lon
8796,giraffe_masai,NNP_GIRM_0027,8339,GIRM_MUGU_20<COMMA>hyrule:joncrall:/media/raid/work/GIRM_MUGU_20<COMMA><COMMA><COMMA><COMMA><COMMA>0,0557e640-e85e-5149-dd70-f934bb025f71.jpg,1424458793,-1.41182319546,36.9011933776
8797,giraffe_masai,NNP_GIRM_0001,9374,NNP_Master<COMMA>pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master<COMMA><COMMA><COMMA><COMMA><COMMA>6,96e8e40c-a388-ab41-fdba-c7600c4bd511.jpg,1424956991,-1.39488059379,36.8581045855
8798,giraffe_masai,____,9313,NNP_Master<COMMA>pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master<COMMA><COMMA><COMMA><COMMA><COMMA>6,20b396d2-bbf6-9405-7e67-7773172fbf46.jpg,1424952567,-1.41326344284,36.920342326
8799,giraffe_masai,NNP_GIRM_0026,9228,NNP_Master<COMMA>pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master<COMMA><COMMA><COMMA><COMMA><COMMA>6,58c12903-f014-3465-bbed-a4d3451bac65.jpg,1424950693,-1.41913348737,36.93286917
8800,giraffe_masai,NNP_GIRM_0041,9228,NNP_Master<COMMA>pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master<COMMA><COMMA><COMMA><COMMA><COMMA>6,58c12903-f014-3465-bbed-a4d3451bac65.jpg,1424950693,-1.41913348737,36.93286917
8801,giraffe_masai,____,8328,GIRM_MUGU_20<COMMA>hyrule:joncrall:/media/raid/work/GIRM_MUGU_20<COMMA><COMMA><COMMA><COMMA><COMMA>0,636298bc-ce55-e2b8-fe87-b4191f901054.jpg,1424453176,-1.40593997705,36.8766834385
8802,giraffe_masai,NNP_GIRM_0010,3128,NNP GZC Car '1WHITE'<COMMA> Person 'A',0c51c4b1-3800-9893-7df1-b59b4602cbeb.jpg,1425217556,-1.406007,36.877129
8803,giraffe_masai,NNP_GIRM_0039,9175,NNP_Master<COMMA>pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master<COMMA><COMMA><COMMA><COMMA><COMMA>6,aa14f064-77f0-28e1-c96f-c0fd6f025e96.jpg,1424948756,-1.39102094661,36.9090788217
8804,giraffe_masai,NNP_GIRM_0025,3214,NNP GZC Car '1WHITE'<COMMA> Person 'B',decac6e2-5670-504c-5c92-38e19c4b7bfd.jpg,1425221185,-1.391026,36.91326
8805,giraffe_masai,NNP_GIRM_0043,9345,NNP_Master<COMMA>pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master<COMMA><COMMA><COMMA><COMMA><COMMA>6,79dcb1c5-24d1-c0b6-3891-0bcee625a1f2.jpg,1424953935,-1.40886040121,36.9003760596
8806,giraffe_masai,NNP_GIRM_0053,9345,NNP_Master<COMMA>pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master<COMMA><COMMA><COMMA><COMMA><COMMA>6,79dcb1c5-24d1-c0b6-3891-0bcee625a1f2.jpg,1424953935,-1.40886040121,36.9003760596
8807,giraffe_masai,NNP_GIRM_0035,8349,GIRM_MUGU_20<COMMA>hyrule:joncrall:/media/raid/work/GIRM_MUGU_20<COMMA><COMMA><COMMA><COMMA><COMMA>0,d2a3feea-a063-83a1-dc81-58bd67921c6b.jpg,1424450938,-1.37470946995,36.84222291
8808,giraffe_masai,NNP_GIRM_0062,9369,NNP_Master<COMMA>pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master<COMMA><COMMA><COMMA><COMMA><COMMA>6,0e47be91-ae43-5bd4-4736-8c8fd059b1de.jpg,1424956378,-1.40381662476,36.8718766325
8809,giraffe_masai,NNP_GIRM_0016,8321,GIRM_MUGU_20<COMMA>hyrule:joncrall:/media/raid/work/GIRM_MUGU_20<COMMA><COMMA><COMMA><COMMA><COMMA>0,d88640f8-07a6-04ae-07eb-cc44341c21da.jpg,1424452924,-1.40594643587,36.8766872715
8810,giraffe_masai,NNP_GIRM_0064,8321,GIRM_MUGU_20<COMMA>hyrule:joncrall:/media/raid/work/GIRM_MUGU_20<COMMA><COMMA><COMMA><COMMA><COMMA>0,d88640f8-07a6-04ae-07eb-cc44341c21da.jpg,1424452924,-1.40594643587,36.8766872715
